date,index_100_eur,index_100_usd,index_100_gbp
2024-05-17,-48783.1690223254,-310.89064525616584,-478.6726984208422
2024-05-20,-49036.14296673693,-312.3744959109682,-480.63792357564915
2024-05-21,-48889.25486998184,-311.17784215709537,-478.5791162706134
2024-05-22,-48913.73621944102,-310.93851140632074,-477.64329476832427
2024-05-23,-48921.89666926076,-310.50771605492656,-477.54971261809544
2024-05-24,-48717.885423767584,-310.26838530415193,-475.91202498908956
2024-05-27,-48840.292171063484,,
2024-05-28,-48644.44137539005,-310.2205191539971,-474.74224811122826
2024-05-29,-48424.10923025744,-307.0134870936178,-472.3091122052768
2024-05-30,-48252.73978404318,-307.0134870936178,-470.8117978016143
2024-05-31,-47950.80314071329,-305.05097493726635,-468.4722440458917
2024-06-03,-48318.023382600986,-308.54520389857504,-471.7476193039033
2024-06-04,-48130.33303674727,-307.20495169423754,-469.8759762993253
2024-06-05,-48750.5272230465,-310.74704680570113,-475.67806961351727
2024-06-06,-48930.057119080484,-312.23089746050346,-477.5029215429809
2024-06-07,-49150.389264213096,-311.60863750848955,-478.76628057107115
2024-06-10,-49362.56095952599,-311.1299760069404,-477.7836679936677
2024-06-11,-49264.63556168927,-310.02905455337736,-476.23956251489074
2024-06-12,-49525.769955920514,-315.15073261995326,-479.7956842235891
2024-06-13,-49501.28860646134,-312.42236206112307,-478.5791162706134
2024-06-14,-49648.17670321642,-311.65650365864445,-480.3571771249625
2024-06-17,-49672.6580526756,-312.42236206112307,-481.38658077748045
2024-06-18,-49950.1133465463,-314.5763388180942,-484.3344185096909
2024-06-19,-50031.717844743565,-315.3421972205728,-484.56837388526316
2024-06-20,-50211.24774077755,-315.62939412150234,-486.4400168898412
2024-06-21,-50064.35964402248,-313.6190158149959,-485.69135968801
2024-06-24,-50137.803692400004,-315.4857956710376,-486.0656882889256
2024-06-25,-50072.52009384219,-314.4806065177844,-484.94270248617875
2024-06-26,-50088.84099348165,-313.8104804156156,-486.0656882889256
2024-06-27,-50056.199194202745,-314.4327403676295,-486.20606151426904
2024-06-28,-50260.21043969591,-315.9165910224318,-488.6859884953349
2024-07-01,-49990.91559564493,-314.4806065177844,-486.4400168898412
2024-07-02,-50072.52009384219,-315.10286646979824,-486.0656882889256
2024-07-03,-50235.72909023673,-318.3098985301775,-487.60979376770246
2024-07-04,-50374.45673717208,-319.4586861338954,-489.3410635469372
2024-07-05,-50358.13583753262,-319.88948148528965,-488.31165989441934
2024-07-08,-50464.22168518908,-320.65533988776826,-488.77957064556387
2024-07-09,-50537.66573356661,-320.36814298683885,-489.621809997624
2024-07-10,-50766.158328518955,-322.23492284288045,-490.6512136501418
2024-07-11,-50692.71428014141,-323.1922458459787,-489.15389924647957
2024-07-12,-50937.527774733215,-325.68128565403424,-490.37046719945516
2024-07-15,-50904.88597545431,-325.7770179543441,-490.46404934968405
2024-07-16,-50953.84867437267,-325.2026241524851,-491.25949762662975
2024-07-17,-50423.41943609044,-323.14437969582383,-486.0656882889256
2024-07-18,-50170.44549167891,-320.7032060379232,-483.63255238297415
2024-07-19,-49819.54614943067,-318.022701629248,-481.66732722816715
2024-07-22,-50031.717844743565,-319.4586861338954,-483.819716683432
2024-07-23,-50480.54258482852,-321.42119829024693,-486.4400168898412
2024-07-24,-49656.33715303615,-316.2037879233613,-478.0644144443543
2024-07-25,-49403.363208624614,-314.62420496824916,-477.4561304678665
2024-07-26,-49509.44905628106,-315.15073261995326,-479.4213556226734
2024-07-29,-49591.053554478334,-314.7678034187139,-478.8598627213001
2024-07-30,-49615.53490393751,-314.5284726679393,-479.28098239733015
2024-07-31,-50390.77763681153,-320.0809460859093,-487.1886740916725
2024-08-01,-49876.66929816876,-315.62939412150234,-483.35180593228745
2024-08-02,-47950.80314071329,-306.91775479330806,-468.84657264680743
2024-08-05,-46840.98196523048,-301.1738167747184,-461.45358277872396
2024-08-06,-47191.88130747872,-302.70553357967555,-464.9395178747506
2024-08-07,-47942.64269089356,-307.3485501447022,-472.0283657545901
2024-08-08,-48007.926289451374,-307.06135324377277,-471.60724607856
2024-08-09,-48162.97483602618,-308.6888023490398,-472.4962765057346
2024-08-12,-48269.06068368263,-309.5025269016733,-473.2449337075658
2024-08-13,-48685.24362448868,-312.80529126236235,-476.8946375664931
2024-08-14,-48775.00857250568,-315.3421972205728,-479.7956842235891
2024-08-15,-49623.69535375723,-319.69801688467,-485.7849418382389
2024-08-16,-49672.6580526756,-320.3202768366839,-485.5509864626666
2024-08-19,-49819.54614943067,-323.5273088970631,-487.1886740916725
2024-08-20,-49656.33715303615,-323.3837104465984,-485.3170310870944
2024-08-21,-49746.10210105313,-324.8675611014007,-485.9721061386967
2024-08-22,-49778.74390033205,-324.3410334496967,-484.4280006599198
2024-08-23,-49819.54614943067,-327.0215378583718,-483.5857613078597
2024-08-26,-49746.10210105313,,
2024-08-27,-49778.74390033205,-325.9684825549637,-481.66732722816715
2024-08-28,-49795.06479997149,-324.8675611014007,-481.29299862725156
2024-08-29,-50358.13583753262,-327.21300245899147,-485.69135968801
2024-08-30,-50194.92684113809,-325.4898210534146,-484.52158281014863
2024-09-02,-50456.06123536934,-327.54806551007596,-487.1886740916725
2024-09-03,-49974.59469600548,-323.2879781462886,-482.696730880685
2024-09-04,-49436.00500790353,-321.22973368962727,-477.54971261809544
2024-09-05,-49134.06836457364,-319.2672215332758,-474.74224811122826
2024-09-06,-48489.392828815246,-315.58152797134744,-469.0337369472651
2024-09-09,-49036.14296673693,-317.40044167723414,-474.74224811122826
2024-09-10,-49085.10566565528,-317.35257552707924,-475.11657671214397
2024-09-11,-48881.094420162124,-315.6772602716573,-473.7128444587103
2024-09-12,-49721.62075159396,-321.70839519117635,-481.1058343267937
2024-09-13,-50064.35964402248,-325.53768720356953,-484.1004631341186
2024-09-16,-49835.867049070126,-325.2026241524851,-481.38658077748045
2024-09-17,-50154.124592039465,-327.0215378583718,-485.69135968801
2024-09-18,-49909.31109744766,-325.3462226029498,-481.76090937839604
2024-09-19,-50619.27023176388,-330.75509757045506,-487.0950919414435
2024-09-20,-50301.01268879454,-328.69685311379385,-483.91329883366086
2024-09-23,-50668.23293068224,-330.89869602091983,-484.28762743457645
2024-09-24,-50782.47922815841,-332.28681437541235,-485.27024001197987
2024-09-25,-50790.63967797814,-332.28681437541235,-486.7207633405279
2024-09-26,-51084.415871488294,-334.8237203336228,-488.12449559396146
2024-09-27,-51231.30396824337,-335.58957873610143,-489.90255644831063
2024-09-30,-51084.415871488294,-333.96212963083434,-487.1886740916725
2024-10-01,-51198.66216896447,-332.04748362463783,-488.77957064556387
2024-10-02,-51492.438362474626,-333.4834681292852,-491.16591547640087
2024-10-03,-51345.55026571955,-331.56882212308864,-494.3009175090691
2024-10-04,-51655.647358869144,-332.04748362463783,-495.6110676122738
2024-10-07,-51835.17725490314,-333.72279888005977,-498.4653231942554
2024-10-08,-51712.77050760724,-332.47827897603196,-496.7808444901351
2024-10-09,-52031.02805057657,-334.0578619311442,-498.8864428702855
2024-10-10,-52120.79299859356,-334.00999578098924,-500.2433840486045
2024-10-11,-52308.48334444727,-335.97250793734077,-502.44256457898376
2024-10-14,-52667.54313651525,-337.3127601416783,-505.062864785393
2024-10-15,-52479.85279066154,-335.54171258594647,-501.225996626008
2024-10-16,-52520.655039760175,-335.0151849342424,-503.6591325319596
2024-10-17,-52936.837980566226,-336.4990355890448,-505.53077553653753
2024-10-18,-52904.196181287305,-336.977697090594,-505.2500290858509
2024-10-21,-52667.54313651525,-334.2971926819188,-503.4719682315017
2024-10-22,-52732.82673507307,-334.48865728253844,-503.93987898264623
2024-10-23,-52577.778188498254,-332.28681437541235,-502.0682359780682
2024-10-24,-52463.53189102208,-332.3346805255673,-501.4131609264658
2024-10-25,-52643.06178705606,-334.00999578098924,-503.0976396305861
2024-10-28,-52626.740887416614,-334.00999578098924,-502.9104753301283
2024-10-29,-52659.38268669552,-333.53133427944016,-501.88107167761035
2024-10-30,-52332.96469390645,-333.4356019791303,-501.225996626008
2024-10-31,-51500.598812294345,-328.026727011625,-498.23136781868305
2024-11-01,-51916.7817531004,-330.3721683692158,-498.7928607200565
2024-11-04,-51533.24061157325,-329.1276484651881,-496.7340534150206
2024-11-05,-51810.69590544396,-331.6645544233985,-498.5121142693698
2024-11-06,-53214.29327443691,-334.8237203336228,-508.3382400434047
2024-11-07,-53605.994865783796,-339.4188707484945,-511.0521224000429
2024-11-08,-53850.808360375595,-338.79661079648065,-512.4558546534764
2024-11-11,-54373.07714883809,-339.6103353491142,-515.918394211946
2024-11-12,-54120.10320442656,-336.6426340395095,-516.2927228128615
2024-11-13,-54283.31220082111,-336.403303288735,-517.3221264653795
2024-11-14,-54242.509951722466,-336.2597048382702,-517.5092907658371
2024-11-15,-53597.83441596408,-331.76028672370836,-513.2980940055365
2024-11-18,-53801.84566145724,-333.53133427944016,-515.6376477612592
2024-11-19,-53761.04341235861,-333.4356019791303,-514.7018262589701
2024-11-20,-53777.364311998055,-331.56882212308864,-513.1109297050788
2024-11-21,-54381.23759865782,-334.68012188315805,-519.3809337704154
2024-11-22,-55009.59223477677,-335.44598028563667,-524.1536234320894
2024-11-25,-54862.7041380217,-337.4563585921431,-525.3701913850651
2024-11-26,-54903.50638712033,-337.3127601416783,-525.6509378357518
2024-11-27,-54462.84209685508,-337.64782319276276,-520.69108387362
2024-11-28,-54683.174241987705,-338.36581544508647,-521.8140696763668
2024-11-29,-54903.50638712033,-339.80179994973383,-522.9838465542281
2024-12-02,-55393.13337630391,-340.5676583522125,-526.8675057887275
2024-12-03,-55344.170677385555,-341.14205215407145,-526.9610879389566
2024-12-04,-55515.540123599814,-342.8652335596483,-527.3354165398722
2024-12-05,-55474.73787450118,-343.91828886305643,-527.2418343896433
2024-12-06,-55507.37967378009,-344.1097534636761,-527.6161629905588
2024-12-09,-55466.57742468146,-344.15761961383106,-526.3060128873542
2024-12-10,-55491.05877414063,-341.8121782562402,-524.3407877325473
2024-12-11,-55776.67451783107,-343.2481627608876,-526.586759338041
